code,name,trade,rised_time,industry
601360,三六零,25.84,,互联网
300106,西部牧业,6.11,,农业综合
601858,中国科传,9.09,,出版业
603227,雪峰科技,4.32,,化工原料
603192,汇得科技,31.04,,化工原料
002625,光启技术,10.32,,汽车配件
603590,康辰药业,42.42,,生物制药
603050,科林电气,13.64,,电气设备
300140,中环装备,8.84,,电气设备
300447,全信股份,11.88,,电气设备
002933,新兴装备,35.56,,航空
300520,科大国创,20.81,,软件服务
603268,松发股份,16.43,,陶瓷
