code,name,trade,rised_time,industry
002770,科迪乳业,3.47,13:38:51,
002888,惠威科技,21.01,13:24:00,
603657,春光科技,51.8,09:25:03,
601606,长城军工,5.81,10:55:17,
002700,新疆浩源,11.8,10:11:54,供水供气
600333,长春燃气,5.72,10:25:20,供水供气
002755,东方新星,14.28,09:25:03,其它行业
600540,新赛股份,4.74,13:24:54,农林牧渔
600359,新农开发,5.59,14:27:36,农林牧渔
600470,六国化工,4.66,09:25:03,农药化肥
002632,道明光学,7.89,09:53:33,化工行业
002165,红 宝 丽,4.52,09:51:12,化工行业
300214,日科化学,5.25,09:25:03,化工行业
300374,恒通科技,11.09,13:49:42,建筑建材
000852,石化机械,8.32,09:41:24,机械行业
300368,汇金股份,6.34,09:25:03,机械行业
603169,兰石重装,5.58,10:38:32,机械行业
002915,中欣氟材,29.49,09:25:03,次新股
603916,苏博特,14.51,09:36:34,次新股
600883,博闻科技,7.48,13:21:51,水泥行业
600668,尖峰集团,13.24,11:22:33,水泥行业
300262,巴安水务,5.76,10:46:06,环保行业
002315,焦点科技,14.03,09:32:42,电子信息
002261,拓维信息,5.58,09:45:36,电子信息
300359,全通教育,7.23,09:56:51,电子信息
300392,腾信股份,7.43,09:33:45,电子信息
300164,通源石油,8.8,09:30:06,石油行业
600620,天宸股份,6.71,09:45:59,综合行业
000610,西安旅游,8.01,09:30:42,酒店旅游
600117,西宁特钢,5.19,11:25:03,钢铁行业
002162,悦心健康,3.31,13:08:30,陶瓷行业
