code,name,trade,rised_time,industry
300023,宝德股份,6.05,09:25:03,专用机械
002131,利欧股份,2.01,09:31:09,互联网
300350,华鹏飞,6.16,09:36:45,仓储物流
002935,天奥电子,54.41,09:25:03,元器件
300647,超频三,20.52,13:46:27,元器件
300256,星星科技,3.78,09:25:03,元器件
603790,N雅运,15.81,09:30:01,化工原料
600724,宁波富达,3.63,14:44:59,区域地产
603501,韦尔股份,41.43,09:25:00,半导体
300269,联建光电,7.11,14:02:09,半导体
002647,仁东控股,14.19,13:33:03,多元金融
601068,中铝国际,10.66,09:46:30,建筑施工
300426,唐德影视,8.88,10:21:00,影视音像
600523,贵航股份,8.91,10:58:47,汽车配件
002322,理工环科,11.39,09:44:15,环境保护
603297,永新光学,45.08,10:57:53,电器仪表
300265,通光线缆,6.79,09:40:33,电气设备
002684,猛狮科技,7.8,09:25:03,电气设备
002927,泰永长征,31.79,13:10:54,电气设备
002692,睿康股份,4.83,09:42:15,电气设备
000662,天夏智慧,5.57,09:45:33,软件服务
002089,新 海 宜,3.87,10:16:39,通信设备
002848,高斯贝尔,11.99,09:36:21,通信设备
603165,荣晟环保,17.82,10:30:16,造纸
