code,name,trade,rised_time,industry
300475,聚隆科技,9.1,10:33:30,专用机械
300092,科新机电,7.45,09:25:03,专用机械
300411,金盾股份,10.16,13:30:24,专用机械
300023,宝德股份,8.87,10:38:33,专用机械
002796,世嘉科技,28.15,09:59:57,专用机械
002219,恒康医疗,3.59,09:52:57,中成药
000971,高升控股,4.6,14:04:42,互联网
300240,飞力达,6.86,13:01:36,仓储物流
002711,欧浦智网,4.19,10:01:03,仓储物流
002259,升达林业,4.13,09:38:06,供气供热
002938,N鹏鼎,23.14,10:00:03,元器件
603029,天鹅股份,14.71,09:25:00,农用机械
603810,丰山集团,40.28,10:59:43,农药化肥
000952,广济药业,11.19,09:34:24,化学制药
002584,西陇科学,6.36,09:41:21,化工原料
002895,川恒股份,13.0,09:39:36,化工原料
603790,雅运股份,23.14,09:25:00,化工原料
000629,攀钢钒钛,3.28,13:56:30,小金属
300103,达刚路机,8.49,13:30:54,工程机械
600512,腾达建设,2.45,14:43:46,建筑施工
601186,中国铁建,10.77,13:59:44,建筑施工
601800,中国交建,12.23,14:05:13,建筑施工
300492,山鼎设计,22.66,14:04:33,建筑施工
600939,重庆建工,5.47,14:48:49,建筑施工
000498,山东路桥,4.27,13:51:06,建筑施工
603843,正平股份,8.9,13:45:45,建筑施工
601068,中铝国际,10.11,13:34:55,建筑施工
002628,成都路桥,5.51,13:54:09,建筑施工
300284,苏交科,9.63,14:03:48,建筑施工
600326,西藏天路,7.16,14:01:53,建筑施工
002307,北新路桥,6.53,14:31:09,建筑施工
002143,印纪传媒,3.94,13:49:42,影视音像
300426,唐德影视,9.03,09:38:48,影视音像
300133,华策影视,10.1,14:25:18,影视音像
601003,柳钢股份,7.87,14:42:40,普钢
603011,合锻智能,5.02,10:03:48,机床制造
002499,科林环保,9.55,13:22:48,环境保护
603718,海利生物,7.87,10:34:47,生物制药
603297,永新光学,62.7,09:45:21,电器仪表
300153,科泰电源,7.76,09:35:12,电气设备
300341,麦迪电气,5.27,09:32:39,电气设备
002692,睿康股份,5.32,10:34:06,电气设备
600152,维科技术,6.44,11:01:49,电气设备
300265,通光线缆,8.5,14:33:09,电气设备
600729,重庆百货,26.46,14:04:06,百货
002822,中装建设,5.95,13:49:57,装修装饰
300173,智慧松德,4.31,09:48:06,轻工机械
603111,康尼机电,4.86,09:37:21,运输设备
000586,汇源通信,9.57,09:30:09,通信设备
300167,迪威迅,5.34,09:43:00,通信设备
600165,新日恒力,4.16,13:52:37,钢加工
300345,红宇新材,4.79,09:25:03,钢加工
000557,西部创业,4.42,10:45:06,铁路
