code,name,trade,rised_time,industry
300724,捷佳伟创,22.43,11:30:03,专用机械
300193,佳士科技,6.33,11:05:30,专用机械
601606,长城军工,7.73,09:25:03,专用机械
000971,高升控股,4.69,09:25:03,互联网
600652,游久游戏,5.29,14:42:42,互联网
002447,晨鑫科技,3.8,14:15:30,互联网
300392,腾信股份,9.89,09:33:12,互联网
002464,众应互联,10.66,10:23:03,互联网
300647,超频三,22.28,14:32:21,元器件
300139,晓程科技,10.03,14:04:06,元器件
002636,金安国纪,9.33,14:39:06,元器件
300154,瑞凌股份,5.52,11:11:00,元器件
002356,赫美集团,12.12,09:57:48,其他商业
002648,卫星石化,10.32,09:38:21,化工原料
600810,神马股份,19.97,14:53:52,化纤
000705,浙江震元,7.24,09:25:03,医药商业
300046,台基股份,17.41,14:42:51,半导体
002738,中矿资源,18.06,09:30:03,建筑施工
002755,东方新星,19.01,09:25:03,建筑施工
603693,江苏新能,23.51,13:12:59,新型电力
002919,名臣健康,35.98,14:28:15,日用化工
603557,起步股份,13.39,09:37:47,服饰
603315,福鞍股份,12.65,14:40:46,机械基件
002766,索菱股份,8.43,09:25:03,汽车配件
603009,北特科技,7.81,11:05:45,汽车配件
601330,绿色动力,17.13,13:44:30,火力发电
002562,兄弟科技,5.83,13:36:03,生物制药
002270,华明装备,5.27,09:31:51,电气设备
603105,芯能科技,26.35,09:38:26,电气设备
002778,高科石化,18.81,09:33:54,石油加工
002331,皖通科技,8.01,14:02:33,软件服务
002609,捷顺科技,9.01,14:23:06,软件服务
002268,卫 士 通,21.14,14:23:45,软件服务
600455,博通股份,23.51,09:43:08,软件服务
002405,四维图新,20.16,14:36:30,软件服务
600536,中国软件,30.72,14:21:19,软件服务
300299,富春股份,5.02,09:51:15,通信设备
002848,高斯贝尔,11.84,10:09:03,通信设备
300310,宜通世纪,5.28,09:48:33,通信设备
300502,新易盛,14.19,09:37:21,通信设备
300312,邦讯技术,9.28,09:34:51,通信设备
