code,name,trade,rised_time,industry
002935,N天奥,27.91,09:30:03,
300411,金盾股份,7.47,09:36:48,专用机械
300029,天龙光电,5.92,09:55:39,专用机械
300527,中国应急,7.7,13:15:54,专用机械
002118,紫鑫药业,5.98,09:25:03,中成药
300104,乐视网,3.43,10:21:36,互联网
002072,凯瑞德,6.74,09:34:30,互联网
603713,密尔克卫,48.05,14:14:54,仓储物流
000669,金鸿控股,5.71,09:32:33,供气供热
000593,大通燃气,7.13,09:36:39,供气供热
002463,沪电股份,6.95,14:24:45,元器件
300546,雄帝科技,25.69,14:56:06,元器件
300106,西部牧业,7.22,10:11:42,农业综合
300267,尔康制药,3.75,11:03:54,化学制药
603192,汇得科技,41.31,09:25:00,化工原料
300269,联建光电,6.85,09:56:12,半导体
002218,拓日新能,3.16,09:25:03,半导体
300317,珈伟股份,6.03,09:53:21,半导体
603959,百利科技,17.86,13:37:19,建筑施工
601068,中铝国际,5.47,09:25:00,建筑施工
002605,姚记扑克,7.37,09:45:18,文教休闲
002291,星期六,6.14,09:25:03,服饰
300260,新莱应材,11.94,14:24:27,机械基件
002212,南洋股份,11.75,14:07:39,电气设备
002451,摩恩电气,6.48,13:54:39,电气设备
300116,坚瑞沃能,2.24,14:32:45,电气设备
300581,晨曦航空,12.58,14:39:36,航空
300696,爱乐达,26.8,09:49:42,航空
002933,新兴装备,47.33,09:25:03,航空
601116,三江购物,15.55,09:31:36,超市连锁
300659,中孚信息,22.66,11:27:51,软件服务
300386,飞天诚信,12.56,09:47:24,软件服务
300253,卫宁健康,14.08,14:48:15,软件服务
603602,纵横通信,30.7,14:14:31,通信设备
000576,广东甘化,5.32,14:21:39,造纸
002053,云南能投,7.84,09:25:03,食品
