code,name,trade,rised_time,industry
002935,天奥电子,40.87,09:25:03,
300278,华昌达,7.08,09:30:03,专用机械
300411,金盾股份,10.93,10:10:03,专用机械
002219,恒康医疗,3.62,09:51:57,中成药
002072,凯瑞德,9.0,14:20:06,互联网
002800,天顺股份,22.53,09:32:39,仓储物流
002893,华通热力,20.04,09:25:03,供气供热
000669,金鸿控股,7.26,09:36:21,供气供热
002700,新疆浩源,10.25,14:10:00,供气供热
600903,贵州燃气,22.01,14:49:00,供气供热
600666,奥瑞德,3.99,14:22:39,元器件
000793,华闻传媒,3.83,10:25:39,出版业
300135,宝利国际,2.92,09:59:36,化工原料
002584,西陇科学,6.07,14:43:03,化工原料
600579,天华院,9.11,09:50:01,化工机械
600503,华丽家族,3.89,09:25:03,区域地产
600146,商赢环球,9.58,10:18:12,塑料
002229,鸿博股份,6.52,09:25:03,广告包装
300071,华谊嘉信,3.7,10:02:00,广告包装
002628,成都路桥,6.25,13:05:51,建筑施工
601068,中铝国际,8.01,09:25:00,建筑施工
000498,山东路桥,4.27,13:11:48,建筑施工
002143,印纪传媒,4.27,09:30:06,影视音像
002418,康盛股份,3.38,10:06:06,机械基件
603677,奇精机械,14.05,14:46:23,机械基件
002871,伟隆股份,20.77,14:19:39,机械基件
002906,华阳集团,13.54,09:36:09,汽车配件
002921,联诚精密,38.12,14:50:57,汽车配件
000760,斯太尔,4.42,10:16:09,汽车配件
603085,天成自控,14.15,09:37:37,汽车配件
601330,绿色动力,21.56,14:07:23,火力发电
601225,陕西煤业,8.05,09:50:28,煤炭开采
300664,鹏鹞环保,15.4,14:28:18,环境保护
300266,兴源环境,3.97,10:52:18,环境保护
300491,通合科技,16.59,09:41:57,电气设备
002451,摩恩电气,7.28,14:50:27,电气设备
002692,睿康股份,3.63,10:13:48,电气设备
002554,惠博普,3.7,09:30:15,石油开采
002933,新兴装备,69.3,09:25:03,航空
300350,华鹏飞,6.16,09:38:45,软件服务
002848,高斯贝尔,11.01,09:40:18,通信设备
000576,广东甘化,6.47,09:57:57,造纸
600165,新日恒力,4.48,14:21:12,钢加工
600687,刚泰控股,4.39,14:37:32,黄金
