code,name,trade,rised_time,industry
300526,中潜股份,12.54,09:48:12,专用机械
603917,合力科技,16.05,10:50:08,专用机械
603583,N捷昌,42.0,10:55:27,专用机械
002113,天润数娱,3.62,14:22:21,互联网
300748,N金力,7.76,10:55:33,元器件
300340,科恒股份,15.95,10:25:51,元器件
600462,九有股份,3.27,09:25:00,元器件
000031,中粮地产,6.18,14:02:51,全国地产
002780,三夫户外,14.17,09:42:06,其他商业
603810,丰山集团,53.61,09:25:00,农药化肥
002002,鸿达兴业,3.63,09:25:03,化工原料
300132,青松股份,13.7,14:33:15,化工原料
603790,雅运股份,30.8,09:25:00,化工原料
603313,梦百合,17.11,13:11:18,家居用品
002460,赣锋锂业,32.02,13:36:09,小金属
002667,鞍重股份,7.61,09:25:03,工程机械
603637,镇海股份,14.99,09:25:00,建筑施工
600158,中体产业,9.09,14:44:24,文教休闲
002858,力盛赛车,16.5,09:25:03,文教休闲
300005,探路者,3.69,09:25:03,服饰
603667,五洲新春,11.35,10:48:05,机械基件
000927,一汽夏利,3.36,10:44:45,汽车整车
603788,宁波高发,18.5,14:53:36,汽车配件
000504,南华生物,12.11,13:35:51,环境保护
300153,科泰电源,8.45,13:19:45,电气设备
300004,南风股份,5.01,09:47:06,电气设备
601111,中国国航,8.32,14:01:04,空运
000428,华天酒店,3.04,09:40:09,酒店餐饮
002359,北讯集团,9.6,10:31:48,钢加工
002936,郑州银行,8.0,09:25:03,银行
603838,四通股份,11.03,09:25:00,陶瓷
