code,name,trade,rised_time,industry
600317,营口港,2.54,13:21:43,交通运输
600495,晋西车轴,5.05,11:20:24,交通运输
002700,新疆浩源,10.73,10:09:57,供水供气
300451,创业软件,15.66,14:41:51,其它行业
002755,东方新星,12.98,09:25:03,其它行业
600470,六国化工,4.24,09:52:30,农药化肥
600096,云天化,5.76,14:00:19,农药化肥
002538,司尔特,5.51,09:30:00,农药化肥
600078,澄星股份,3.7,09:53:36,化工行业
600141,兴发集团,13.27,10:28:30,化工行业
600722,金牛化工,6.27,09:54:48,化工行业
600722,金牛化工,6.27,09:54:48,化工行业
002476,宝莫股份,4.82,10:36:48,化工行业
002109,兴化股份,4.41,14:34:27,化工行业
000510,金路集团,4.91,10:04:57,化工行业
600378,天科股份,11.09,09:30:20,化工行业
300320,海达股份,5.68,13:04:12,化工行业
600810,神马股份,18.92,14:34:51,化纤行业
600458,时代新材,8.8,13:00:07,塑料制品
000407,胜利股份,4.51,11:18:51,塑料制品
601800,中国交建,14.07,14:56:46,建筑建材
601789,宁波建工,4.13,09:25:02,建筑建材
601186,中国铁建,11.01,14:09:07,建筑建材
002285,世联行,6.28,13:48:30,房地产
002634,棒杰股份,4.79,13:38:54,服装鞋类
601002,晋亿实业,6.69,14:25:55,机械行业
002611,东方精工,5.86,13:18:57,机械行业
002353,杰瑞股份,19.77,14:54:00,机械行业
002923,润都股份,24.61,14:08:00,次新股
002922,伊戈尔,26.39,13:30:15,次新股
002915,中欣氟材,26.81,10:08:12,次新股
601011,宝泰隆,6.41,14:56:13,煤炭行业
000626,远大控股,8.32,09:42:30,物资外贸
002261,拓维信息,5.07,14:38:21,电子信息
300212,易华录,26.31,11:04:21,电子信息
300392,腾信股份,6.75,09:25:03,电子信息
300312,邦讯技术,7.18,10:40:54,电子信息
300277,海联讯,7.79,14:37:36,电子信息
300084,海默科技,5.1,11:29:21,石油行业
300164,通源石油,8.0,09:33:09,石油行业
000610,西安旅游,7.28,09:31:06,酒店旅游
603712,七一二,22.01,10:49:06,NA
603657,春光科技,47.09,09:25:03,NA
603393,新天然气,37.43,14:19:09,NA
603067,振华股份,11.62,14:08:16,NA
601606,长城军工,5.28,11:11:32,NA
300743,天地数码,68.49,09:30:15,NA
002932,明德生物,91.75,10:35:33,NA
002927,泰永长征,30.21,10:54:42,NA
002828,贝肯能源,16.96,09:36:06,NA
002810,山东赫达,14.97,14:48:42,NA
