code,name,trade,rised_time,industry
601360,三六零,25.84,09:56:41,互联网
603032,德新交运,17.5,13:42:52,公路
300106,西部牧业,6.11,09:25:03,农业综合
601858,中国科传,9.09,09:30:03,出版业
000792,盐湖股份,8.15,11:03:24,化工原料
300586,美联新材,15.35,13:30:45,化工原料
603227,雪峰科技,4.32,09:52:22,化工原料
603192,汇得科技,31.04,13:05:12,化工原料
000979,中弘股份,0.96,14:36:39,区域地产
603818,曲美家居,8.78,14:47:38,家居用品
002158,汉钟精机,9.41,13:06:48,工程机械
002625,光启技术,10.32,09:35:54,汽车配件
002865,钧达股份,21.01,14:00:45,汽车配件
002034,旺能环境,17.31,14:10:00,环境保护
603590,康辰药业,42.42,13:27:16,生物制药
603050,科林电气,13.64,09:25:00,电气设备
300140,中环装备,8.84,09:36:09,电气设备
300447,全信股份,11.88,10:16:30,电气设备
002933,新兴装备,35.56,11:17:39,航空
300520,科大国创,20.81,10:28:42,软件服务
002689,远大智能,3.67,13:22:00,运输设备
603268,松发股份,16.43,09:25:00,陶瓷
