code,name,trade,rised_time,industry
603583,捷昌驱动,46.2,09:25:00,专用机械
300475,聚隆科技,9.7,09:45:30,专用机械
002530,金财互联,8.42,10:30:45,专用机械
603917,合力科技,17.66,09:32:02,专用机械
300526,中潜股份,13.79,09:25:03,专用机械
002113,天润数娱,3.98,14:28:27,互联网
300104,乐视网,3.59,09:30:18,互联网
600603,广汇物流,4.47,09:25:00,仓储物流
300748,金力永磁,8.54,11:04:57,元器件
002477,雏鹰农牧,2.11,14:29:27,农业综合
600746,江苏索普,5.51,09:25:00,化工原料
603790,雅运股份,33.88,09:34:05,化工原料
300749,N顶固,17.6,10:58:12,家居用品
002667,鞍重股份,8.37,10:43:36,工程机械
002229,鸿博股份,7.89,10:09:54,广告包装
600853,龙建股份,4.09,13:18:38,建筑施工
002731,萃华珠宝,16.58,14:15:42,服饰
002598,山东章鼓,7.62,13:00:00,机械基件
603985,恒润股份,19.65,09:34:23,机械基件
600297,广汇汽车,6.48,09:25:03,汽车服务
300733,西菱动力,17.14,09:51:36,汽车配件
000504,南华生物,13.32,10:04:30,环境保护
603718,海利生物,8.83,11:00:49,生物制药
