code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
000063,中兴通讯,1.536,15.86,15.26,16.58,15.11,15.62,268091737.0,7.80702,4306820665.0,14.55,2.675,6649577.542998,5446299.574014
600519,贵州茅台,-2.167,648.44,652.0,668.5,640.0,662.8,5993985.0,0.47715,3908421566.0,30.076,8.722,81456890.1432,81456890.1432
600050,中国联通,5.441,5.62,5.3,5.86,5.27,5.33,492286301.0,2.32248,2795892691.0,298.936,1.2650000000000001,17437630.168094,11912487.17399
601318,中国平安,-0.088,56.98,56.38,57.95,55.88,57.03,47507498.0,0.43856000000000006,2710351662.0,11.419,2.075,104160815.55418,61724522.309604
000858,五 粮 液,-3.442,61.15,62.33,63.41,61.14,63.33,30805573.0,0.8115800000000001,1913089768.0,23.999,3.981,23736032.950575,23211139.16357
600536,中国软件,-3.502,28.93,29.2,30.15,28.29,29.98,50558974.0,10.22296,1477722135.0,192.867,7.158,1430770.128326,1430770.128326
300059,东方财富,0.238,12.62,12.39,12.85,12.28,12.59,112404307.0,2.70631,1414347719.0,84.812,4.641,6522255.387518,5241614.945846
603713,密尔克卫,4.614,49.88,46.0,52.45,45.71,47.68,27254824.0,71.49744,1395519470.0,68.151,7.136,760540.232192,190142.56
000725,京东方Ａ,-0.565,3.52,3.48,3.59,3.46,3.54,383764351.0,1.13337,1356301782.0,16.221,1.4140000000000001,12249036.364576,11918894.365664
000333,美的集团,0.714,42.32,41.17,42.9,41.07,42.02,32217105.0,0.49716000000000005,1354274311.0,15.91,3.517,28045089.523016,27424586.763696
000651,格力电器,-0.642,38.69,38.4,39.42,37.8,38.94,34871393.0,0.5841500000000001,1350629171.0,10.401,3.282,23274862.766982,23096259.864901
002049,紫光国微,-1.779,45.28,45.44,46.96,45.08,46.1,27561585.0,4.55865,1270103241.0,98.179,7.791,2747671.759104,2737627.206144
002027,分众传媒,-4.823,9.67,10.03,10.16,9.63,10.16,127447764.0,1.82986,1257822120.0,19.735,10.219,14193510.23076,6735047.529554
002415,海康威视,2.073,31.02,30.0,31.86,29.8,30.39,38381538.0,0.48541000000000006,1197631360.0,30.117,9.537,28622993.007246,24527716.768434
600276,恒瑞医药,-0.444,67.23,66.5,69.41,66.31,67.53,17588954.0,0.48032,1195007375.0,59.114,14.502,24757060.584627,24619276.061127
603799,华友钴业,-4.821,48.17,49.1,49.49,47.12,50.61,24564649.0,2.9961200000000003,1193997248.0,15.053,4.228,3996892.671845,3949367.701864
002405,四维图新,-5.673,19.62,20.21,20.9,19.38,20.8,58014611.0,5.60812,1171780338.0,89.753,3.752,2569182.066684,2029639.632156
000977,浪潮信息,-2.188,26.82,26.8,27.78,26.5,27.42,43165558.0,3.36152,1170349662.0,68.752,4.732,3457774.322622,3443982.38973
600887,伊利股份,0.0,25.99,25.65,26.6,25.63,25.99,44082149.0,0.7306400000000001,1156055136.0,26.253,5.814,15798002.288192,15680726.452038
600030,中信证券,0.504,15.95,15.7,16.19,15.59,15.87,71133621.0,0.72477,1133005070.0,16.968,1.274,19326468.898,15654385.4115
000002,万 科Ａ,1.883,22.72,21.63,23.08,21.61,22.3,49038444.0,0.50476,1107212516.0,8.945,1.842,25080953.346272,22072866.337696
600487,亨通光电,1.448,23.12,22.5,23.63,22.46,22.79,45839299.0,2.46405,1066089784.0,14.15,2.985,4401321.620464,4301072.299368
601398,工商银行,-0.378,5.27,5.22,5.33,5.2,5.29,197386455.0,0.07321000000000001,1038415577.0,6.671,0.901,187826097.4859,142085636.00805
600036,招商银行,0.15,26.74,26.29,27.14,26.2,26.7,38370246.0,0.186,1024991052.0,9.619,1.46,67437867.137074,55161797.403146
601869,长飞光纤,2.396,50.43,48.0,51.57,46.27,49.25,19830540.0,26.16494,990677183.0,27.113,6.158,3822115.459644,382211.54193
000735,罗 牛 山,-5.686,11.28,11.65,11.77,11.22,11.96,85055208.0,8.02708,977486095.0,84.94,3.358,1298907.315984,1195233.21612
600048,保利地产,1.195,11.01,10.61,11.11,10.56,10.88,89669540.0,0.7640300000000001,976198431.0,8.341,1.25,13056143.608161,12921711.373839
600588,用友网络,-0.646,27.68,27.3,28.25,27.05,27.86,31788225.0,1.6882000000000001,878053340.0,102.519,9.046,5255410.162352,5212044.578976
002304,洋河股份,-4.977,104.24,108.08,111.7,103.88,109.7,8054412.0,0.6484,861283280.0,23.691,4.765,15708842.912,12948630.391512
002230,科大讯飞,-0.136,29.37,28.82,29.95,28.74,29.41,28662716.0,1.57692,847022534.0,89.0,8.104,6116245.205004,5338422.745293
603019,中科曙光,-3.43,48.99,49.37,51.11,48.88,50.73,17004730.0,2.6444900000000002,844968222.0,102.063,9.964,3150174.42903,3150174.42903
300310,宜通世纪,-8.451,5.85,6.19,6.66,5.75,6.39,136438380.0,21.71318,843141818.0,21.667,1.452,522977.53131,367594.566885
000673,当代东方,-10.0,6.12,6.23,6.35,6.12,6.8,134275405.0,17.05472,834991947.0,44.156,2.15,484428.870504,481840.60806
600810,神马股份,2.541,20.18,19.15,20.98,18.91,19.68,39842920.0,9.00853,807645754.0,134.533,3.068,892521.04,892521.04
002673,西部证券,6.777,7.72,7.15,7.95,7.11,7.23,103699812.0,2.9613,807493520.0,33.521,1.5310000000000001,2703420.30244,2703420.30244
603105,芯能科技,-8.089,21.59,22.71,23.16,21.38,23.49,35984152.0,40.89108,804445762.0,77.107,8.297,1079500.0,189992.0
600585,海螺水泥,-0.435,36.61,36.24,37.17,35.8,36.77,21943117.0,0.54862,802706354.0,12.244,2.061,19400746.741719,14642911.141719
000636,风华高科,-1.932,17.26,17.25,17.66,17.1,17.6,45490925.0,5.19629,790705390.0,61.643,3.356,1545172.349586,1511028.258578
600756,浪潮软件,1.496,19.67,19.04,20.4,18.73,19.38,39141928.0,12.07716,774713185.0,51.763,2.934,637502.247151,637502.247151
300383,光环新网,4.664,15.26,14.55,15.58,14.46,14.58,50946097.0,3.66946,773467855.0,50.867,3.297,2207132.370688,2118669.331226
603706,东方环宇,-9.216,44.23,46.12,48.59,43.9,48.72,16690413.0,41.72603,771350229.0,55.288,9.939,707680.0,176920.0
601888,中国国旅,-2.614,59.23,59.0,61.48,58.45,60.82,12839219.0,0.65759,771178078.0,45.695,7.664,11564512.647112,11564512.647112
601288,农业银行,0.573,3.51,3.47,3.51,3.45,3.49,217783097.0,0.07406,757197366.0,6.052,0.8260000000000001,122844044.88942,103213408.1603
002371,北方华创,-4.479,51.4,52.02,53.86,50.91,53.81,14257709.0,3.97041,746317347.0,187.386,7.091,2354142.47208,1845770.65386
300750,宁德时代,-0.174,68.99,68.0,69.88,66.21,69.11,10715293.0,4.93238,733358635.0,34.351,5.366,14987642.863,1498764.513967
600029,南方航空,3.155,6.54,6.21,6.62,6.18,6.34,110403935.0,1.57211,714449996.0,10.9,1.248,6597665.319888,4592813.1
601688,华泰证券,0.675,14.91,14.59,15.35,14.51,14.81,47372489.0,0.8702200000000001,706918114.0,11.513,1.201,12302986.5,8116591.17192
601186,中国铁建,-3.473,10.56,10.7,10.8,10.46,10.94,66034552.0,0.5740500000000001,702445685.0,9.103,1.033,14339995.824,12147427.248
600498,烽火通信,1.06,31.45,30.63,32.43,30.38,31.12,21789545.0,2.11103,688708378.0,40.321,3.627,3503338.07323,3246195.04847
