date,open,close,high,low,volume,code
2005-06-15,1090.46,1072.84,1090.46,1070.06,15267600.0,sh
2005-06-16,1071.77,1086.01,1086.35,1064.03,14483100.0,sh
2005-06-17,1090.11,1085.61,1094.67,1079.08,16752600.0,sh
2005-06-20,1087.85,1115.62,1115.86,1073.41,21468600.0,sh
2005-06-21,1115.67,1101.49,1115.67,1098.9,15478100.0,sh
2005-06-22,1098.96,1102.03,1103.25,1090.74,12351500.0,sh
2005-06-23,1100.56,1093.7,1106.75,1092.48,11484900.0,sh
2005-06-24,1091.99,1101.88,1102.23,1087.69,11121100.0,sh
2005-06-27,1108.46,1124.64,1129.96,1108.46,21842400.0,sh
2005-06-28,1120.94,1108.59,1120.94,1105.34,13458400.0,sh
2005-06-29,1111.67,1104.99,1113.52,1103.91,13469400.0,sh
2005-06-30,1103.48,1080.94,1103.48,1078.1,13786000.0,sh
2005-07-01,1077.31,1055.59,1077.31,1053.63,13597800.0,sh
2005-07-04,1050.24,1047.28,1050.24,1030.18,12276000.0,sh
2005-07-05,1043.88,1039.04,1047.82,1032.52,10494900.0,sh
2005-07-06,1040.7,1033.55,1044.78,1028.22,9196429.0,sh
2005-07-07,1033.22,1038.6,1044.05,1030.5,8570429.0,sh
2005-07-08,1036.41,1017.98,1036.41,1015.4,10337400.0,sh
2005-07-11,1026.79,1011.5,1043.21,1009.04,11330400.0,sh
2005-07-12,1007.9,1046.16,1048.92,1004.08,18457800.0,sh
2005-07-13,1044.58,1037.39,1045.94,1033.81,12822000.0,sh
2005-07-14,1035.53,1040.42,1049.88,1033.17,12571100.0,sh
2005-07-15,1039.61,1026.11,1046.36,1021.99,12750500.0,sh
2005-07-18,1023.38,1012.1,1023.38,1008.52,10964800.0,sh
2005-07-19,1011.01,1014.35,1020.67,1004.66,9882320.0,sh
2005-07-20,1013.98,1021.05,1025.1,1008.68,10568600.0,sh
2005-07-21,1020.69,1020.63,1022.04,1009.99,11140400.0,sh
2005-07-22,1026.13,1046.32,1054.64,1024.0,25488300.0,sh
2005-07-25,1045.27,1045.4,1048.97,1040.59,14134100.0,sh
2005-07-26,1046.54,1072.81,1078.06,1046.54,25577500.0,sh
2005-07-27,1072.56,1089.91,1090.19,1068.5,23812300.0,sh
2005-07-28,1090.11,1086.55,1097.63,1083.36,24695800.0,sh
2005-07-29,1084.97,1083.03,1088.48,1077.12,17683900.0,sh
2005-08-01,1082.8,1088.95,1094.15,1081.12,14731600.0,sh
2005-08-02,1089.53,1104.04,1104.04,1084.8,19015000.0,sh
2005-08-03,1106.32,1107.7,1120.68,1103.9,31436500.0,sh
2005-08-04,1104.91,1102.59,1108.16,1099.13,19436800.0,sh
2005-08-05,1102.62,1128.74,1129.07,1102.6,27096100.0,sh
2005-08-08,1131.8,1138.88,1146.73,1131.8,30237500.0,sh
2005-08-09,1139.12,1152.53,1152.94,1130.58,27154100.0,sh
2005-08-10,1153.21,1165.03,1165.13,1144.95,31427100.0,sh
2005-08-11,1165.44,1183.58,1184.26,1164.1,36967000.0,sh
2005-08-12,1185.27,1167.92,1192.05,1161.79,40478800.0,sh
2005-08-15,1167.03,1187.01,1187.8,1163.85,30319500.0,sh
2005-08-16,1188.02,1177.28,1192.92,1170.11,33155400.0,sh
2005-08-17,1175.18,1192.83,1193.57,1160.08,32307300.0,sh
2005-08-18,1194.44,1148.04,1201.76,1146.56,49201500.0,sh
2005-08-19,1144.46,1150.18,1157.37,1132.86,31501200.0,sh
2005-08-22,1148.97,1158.6,1162.04,1142.68,24033200.0,sh
2005-08-23,1158.83,1149.96,1159.63,1139.24,21840700.0,sh
2005-08-24,1151.45,1167.14,1171.43,1151.45,22674100.0,sh
2005-08-25,1168.0,1172.47,1172.69,1157.18,24232100.0,sh
2005-08-26,1173.01,1171.86,1174.54,1163.99,24296400.0,sh
2005-08-29,1172.0,1154.43,1172.01,1147.93,24333200.0,sh
2005-08-30,1151.62,1146.39,1153.77,1145.27,18551900.0,sh
2005-08-31,1145.81,1162.8,1163.52,1140.1,21676100.0,sh
2005-09-01,1163.7,1184.93,1185.76,1160.05,33830500.0,sh
2005-09-02,1187.06,1188.85,1188.91,1179.11,28920500.0,sh
2005-09-05,1189.06,1196.22,1196.87,1184.01,26700100.0,sh
2005-09-06,1197.23,1173.32,1201.82,1172.06,33685300.0,sh
2005-09-07,1170.77,1194.31,1194.59,1168.58,28602900.0,sh
2005-09-08,1196.27,1194.41,1201.46,1184.79,30528100.0,sh
2005-09-09,1194.49,1189.62,1204.46,1184.42,22155700.0,sh
2005-09-12,1189.75,1188.21,1191.93,1181.43,17096700.0,sh
2005-09-13,1188.25,1207.16,1207.4,1186.22,25913700.0,sh
2005-09-14,1209.27,1217.26,1217.41,1204.55,32243800.0,sh
2005-09-15,1217.52,1217.28,1218.94,1210.72,27217500.0,sh
2005-09-16,1217.42,1212.95,1217.76,1208.56,22397200.0,sh
2005-09-19,1213.49,1220.63,1220.97,1210.19,24656900.0,sh
2005-09-20,1222.26,1212.62,1223.56,1204.87,32300700.0,sh
2005-09-21,1210.85,1187.99,1210.85,1186.98,31799500.0,sh
2005-09-22,1185.69,1159.96,1185.69,1147.19,28602300.0,sh
2005-09-23,1157.3,1151.98,1164.6,1149.74,18774400.0,sh
2005-09-26,1150.93,1155.04,1155.6,1147.27,14538100.0,sh
2005-09-27,1155.05,1133.24,1157.8,1132.53,18093600.0,sh
2005-09-28,1131.32,1131.77,1142.49,1129.05,14751500.0,sh
2005-09-29,1134.44,1155.48,1155.78,1134.44,18537000.0,sh
2005-09-30,1156.77,1155.61,1158.7,1150.63,14493500.0,sh
2005-10-10,1153.67,1138.95,1153.67,1137.29,11720100.0,sh
2005-10-11,1137.95,1157.19,1157.3,1133.9,13426600.0,sh
2005-10-12,1157.48,1161.85,1165.67,1152.25,18467200.0,sh
2005-10-13,1162.02,1152.61,1165.35,1152.09,16905200.0,sh
2005-10-14,1152.37,1139.55,1154.32,1135.51,15146000.0,sh
2005-10-17,1138.38,1131.38,1138.38,1121.97,15135200.0,sh
2005-10-18,1131.26,1141.2,1142.04,1129.67,18928100.0,sh
2005-10-19,1141.05,1134.61,1150.59,1132.48,18908400.0,sh
2005-10-20,1133.45,1135.95,1136.31,1119.38,17371800.0,sh
2005-10-21,1135.61,1141.32,1145.99,1132.36,18011200.0,sh
2005-10-24,1141.33,1141.17,1143.46,1133.92,17275900.0,sh
2005-10-25,1140.17,1121.92,1140.17,1121.29,16929900.0,sh
2005-10-26,1119.43,1097.16,1119.43,1094.57,19211800.0,sh
2005-10-27,1093.93,1097.78,1101.27,1087.48,17203700.0,sh
2005-10-28,1097.58,1080.87,1102.02,1067.41,17973900.0,sh
2005-10-31,1079.04,1092.82,1096.15,1078.29,14835100.0,sh
2005-11-01,1091.68,1089.95,1094.15,1074.3,13985500.0,sh
2005-11-02,1090.0,1104.79,1108.88,1090.0,18764800.0,sh
2005-11-03,1104.59,1095.27,1111.44,1090.82,16862700.0,sh
2005-11-04,1094.26,1100.05,1100.43,1087.84,12783100.0,sh
2005-11-07,1099.53,1100.65,1100.95,1089.83,12082300.0,sh
2005-11-08,1099.94,1110.15,1111.12,1092.54,15311200.0,sh
2005-11-09,1110.55,1108.15,1117.06,1107.64,16725500.0,sh
2005-11-10,1106.94,1088.3,1106.94,1086.1,16156000.0,sh
2005-11-11,1085.69,1090.19,1094.31,1078.58,12560000.0,sh
2005-11-14,1089.56,1088.65,1089.71,1083.02,9202689.0,sh
2005-11-15,1088.51,1087.51,1099.03,1082.51,12215800.0,sh
2005-11-16,1086.83,1095.89,1096.3,1075.43,12608600.0,sh
2005-11-17,1094.88,1095.31,1098.68,1090.35,11961800.0,sh
2005-11-18,1095.52,1117.0,1122.61,1093.53,22480600.0,sh
2005-11-21,1117.78,1119.94,1122.88,1114.24,15543900.0,sh
