code,name,trade,rised_time,industry
002935,天奥电子,33.77,11:30:00,
300411,金盾股份,9.04,09:25:03,专用机械
601606,长城军工,22.59,14:25:44,专用机械
002219,恒康医疗,3.45,10:10:54,中成药
300431,暴风集团,13.2,14:08:27,互联网
002072,凯瑞德,8.15,09:31:21,互联网
300104,乐视网,4.15,09:30:39,互联网
600462,九有股份,2.93,09:37:27,元器件
002600,领益智造,3.22,09:25:03,元器件
603032,德新交运,25.25,14:54:13,公路
002321,华英农业,6.48,10:39:48,农业综合
603192,汇得科技,49.98,09:25:00,化工原料
000979,中弘股份,1.0,10:22:09,区域地产
300216,千山药机,4.18,09:38:36,医疗保健
002091,江苏国泰,6.19,09:30:00,商贸代理
300393,中来股份,16.9,09:49:54,塑料
601068,中铝国际,6.62,09:25:00,建筑施工
002143,印纪传媒,3.53,10:43:12,影视音像
600532,宏达矿业,3.77,14:08:37,普钢
002569,步森股份,11.4,10:23:51,服饰
000595,宝塔实业,3.83,09:47:36,机械基件
000760,斯太尔,3.65,13:28:27,汽车配件
601330,绿色动力,17.82,09:43:06,火力发电
002467,二六三,5.83,09:31:54,电信运营
300004,南风股份,4.55,09:30:48,电气设备
300265,通光线缆,6.31,09:25:03,电气设备
002028,思源电气,15.97,09:25:03,电气设备
002164,宁波东力,3.15,09:48:48,电气设备
300662,科锐国际,29.03,09:30:45,综合类
002933,新兴装备,57.27,09:25:03,航空
300277,海联讯,7.22,09:35:42,软件服务
300167,迪威迅,5.4,10:27:06,通信设备
002848,高斯贝尔,9.1,09:32:12,通信设备
600640,号百控股,10.26,09:25:00,酒店餐饮
600165,新日恒力,4.33,10:02:21,钢加工
600929,湖南盐业,11.41,09:30:00,食品
