code,name,trade,rised_time,industry
601606,长城军工,6.39,09:25:03,
603602,纵横通信,24.19,10:08:36,
603929,亚翔集成,20.83,10:18:28,
603658,安图生物,70.08,13:26:28,
603626,科森科技,13.98,14:05:38,
300615,欣天科技,16.85,10:00:39,
002774,快意电梯,9.75,10:58:39,
300678,中科信息,22.43,10:15:09,
603690,至纯科技,21.55,10:11:58,
300620,光库科技,42.36,11:22:54,
300686,智动力,16.08,09:58:12,
300672,国科微,52.58,09:45:45,
300514,友讯达,14.19,10:02:24,
603127,昭衍新药,50.58,14:30:23,
300687,赛意信息,20.72,13:53:24,
603978,深圳新星,28.39,09:35:19,
300667,必创科技,28.78,09:47:27,
300521,爱司凯,11.8,09:36:51,
300602,飞荣达,40.36,13:29:54,
300700,岱勒新材,40.07,09:45:03,
002857,三晖电气,12.65,14:18:36,
603666,亿嘉和,88.59,10:22:30,
603937,丽岛新材,16.26,09:36:34,
300624,万兴科技,73.7,10:05:39,
603105,芯能科技,21.77,09:49:39,
002909,集泰股份,19.8,13:08:36,
300598,诚迈科技,24.97,09:49:06,
603032,德新交运,11.66,09:39:31,
002415,海康威视,32.15,13:15:03,仪器仪表
002356,赫美集团,10.02,09:25:03,仪器仪表
300148,天舟文化,4.91,13:08:57,传媒娱乐
300462,华铭智能,17.19,09:41:33,其它行业
002755,东方新星,15.71,09:25:03,其它行业
600470,六国化工,5.13,09:54:31,农药化肥
000635,英 力 特,11.94,09:25:03,化工行业
002054,德美化工,5.53,14:14:54,化工行业
000407,胜利股份,5.12,14:33:45,塑料制品
002572,索菲亚,26.2,13:00:33,家具行业
300374,恒通科技,12.2,10:00:54,建筑建材
002160,常铝股份,4.9,09:42:03,有色金属
603169,兰石重装,6.14,09:30:03,机械行业
300266,兴源环境,3.93,13:49:51,机械行业
002691,冀凯股份,8.54,09:31:36,机械行业
002006,精功科技,8.33,13:32:09,机械行业
002523,天桥起重,3.7,09:25:03,机械行业
300368,汇金股份,6.97,13:38:00,机械行业
300730,科创信息,20.06,10:48:18,次新股
600241,时代万恒,7.76,14:55:48,物资外贸
300264,佳创视讯,5.92,10:27:51,电子信息
000063,中兴通讯,14.3,10:23:06,电子信息
300392,腾信股份,8.17,09:25:03,电子信息
300333,兆日科技,8.92,09:54:39,电子信息
600734,实达集团,7.34,10:36:37,电子信息
300339,润和软件,12.43,10:51:00,电子信息
300348,长亮科技,29.4,10:44:27,电子信息
300188,美亚柏科,18.0,13:47:51,电子信息
002368,太极股份,32.79,10:15:48,电子信息
002410,广联达,28.97,10:59:06,电子信息
600756,浪潮软件,18.57,13:19:35,电子信息
600536,中国软件,25.95,10:50:28,电子信息
002315,焦点科技,15.43,09:25:03,电子信息
300046,台基股份,14.39,09:51:24,电子器件
300331,苏大维格,14.34,11:27:30,电子器件
