code,name,trade,rised_time,industry
300724,捷佳伟创,24.67,09:25:03,专用机械
601606,长城军工,8.5,09:25:03,专用机械
000971,高升控股,5.16,09:25:03,互联网
603533,掌阅科技,28.69,10:28:28,互联网
002930,宏川智慧,38.09,14:43:57,仓储物流
603706,东方环宇,54.13,10:01:49,供气供热
600478,科力远,4.93,09:25:01,元器件
000023,深天地Ａ,13.08,13:22:15,其他建材
300317,珈伟股份,6.41,09:25:03,半导体
002243,通产丽星,8.95,13:15:48,塑料
000659,珠海中富,2.81,13:34:06,广告包装
002755,东方新星,20.91,09:25:03,建筑施工
002348,高乐股份,3.67,09:30:12,文教休闲
002740,爱迪尔,7.89,13:53:03,服饰
603557,起步股份,14.73,09:25:03,服饰
002569,步森股份,11.26,09:48:15,服饰
000663,永安林业,7.68,09:40:33,林业
300225,金力泰,5.38,09:36:21,染料涂料
300643,万通智控,10.44,10:18:03,汽车配件
000723,美锦能源,4.19,10:11:54,焦炭加工
600819,耀皮玻璃,4.54,09:41:34,玻璃
300140,中环装备,8.64,13:10:03,电气设备
002270,华明装备,5.8,09:32:54,电气设备
002300,太阳电缆,6.2,10:40:24,电气设备
002684,猛狮科技,8.07,14:07:15,电气设备
300658,延江股份,18.15,09:30:09,纺织
603038,华立股份,20.6,09:53:54,装修装饰
300561,汇金科技,18.52,09:39:06,软件服务
603859,能科股份,18.67,09:25:02,软件服务
002331,皖通科技,8.81,09:25:03,软件服务
002367,康力电梯,6.11,09:30:00,运输设备
300310,宜通世纪,5.81,09:54:48,通信设备
300322,硕贝德,9.81,10:28:30,通信设备
300673,佩蒂股份,51.87,14:50:57,饲料
