code,name,trade,rised_time,industry
601606,长城军工,16.58,09:25:00,专用机械
603283,赛腾股份,23.65,10:56:03,专用机械
300016,北陆药业,12.82,13:27:30,中成药
000766,通化金马,7.98,09:42:33,中成药
300399,京天利,11.48,10:19:54,互联网
603713,密尔克卫,43.0,09:43:33,仓储物流
002769,普路通,10.26,09:57:03,仓储物流
002106,莱宝高科,6.49,13:40:03,元器件
002897,意华股份,24.15,13:59:24,元器件
002888,惠威科技,20.0,10:07:09,元器件
603032,德新交运,15.7,14:36:20,公路
603969,银龙股份,6.99,09:33:03,其他建材
002109,兴化股份,4.74,09:30:09,化工原料
000677,恒天海龙,3.47,13:08:30,化纤
002522,浙江众成,5.07,10:38:06,塑料
002526,山东矿机,3.44,09:25:03,工程机械
000913,钱江摩托,10.22,14:12:06,摩托车
002899,英派斯,21.19,14:36:12,文教休闲
002903,宇环数控,27.45,09:33:27,机床制造
300260,新莱应材,10.86,10:08:03,机械基件
603085,天成自控,13.09,10:54:45,汽车配件
000806,银河生物,3.64,13:32:30,生物制药
300289,利德曼,8.31,10:18:27,生物制药
002164,宁波东力,3.85,11:04:03,电气设备
002778,高科石化,19.68,09:31:36,石油加工
300073,当升科技,24.96,14:14:51,矿物制品
300659,中孚信息,19.46,09:30:03,软件服务
603039,泛微网络,94.49,14:00:19,软件服务
300588,熙菱信息,11.7,09:44:33,软件服务
300502,新易盛,18.69,13:33:57,通信设备
