code,name,trade,rised_time,industry
300724,捷佳伟创,29.85,09:25:03,专用机械
603617,君禾股份,20.08,14:57:58,专用机械
601606,长城军工,10.29,09:25:03,专用机械
002329,皇氏集团,4.53,10:45:18,乳制品
002356,赫美集团,12.22,13:52:33,其他商业
603969,银龙股份,7.17,09:25:03,其他建材
600527,江南高纤,2.64,10:35:27,化纤
000897,津滨发展,2.71,09:38:30,区域地产
600225,天津松江,3.54,14:33:17,区域地产
300034,钢研高纳,11.1,10:10:54,小金属
002178,延华智能,4.76,10:53:54,建筑施工
002575,群兴玩具,4.84,10:27:03,文教休闲
300703,创源文化,19.44,09:35:57,文教休闲
002348,高乐股份,4.44,09:32:42,文教休闲
000931,中 关 村,5.73,09:25:03,生物制药
002175,东方网络,4.39,10:03:12,电器仪表
600821,津劝业,5.45,14:28:50,百货
603083,剑桥科技,29.63,09:54:51,通信设备
603559,中通国脉,22.45,10:07:12,通信设备
300563,神宇股份,25.66,09:53:27,通信设备
