code,name,trade,rised_time,industry
300724,捷佳伟创,27.14,09:25:03,专用机械
601226,华电重工,4.41,09:25:01,专用机械
601606,长城军工,9.35,09:25:04,专用机械
000971,高升控股,5.68,13:34:12,互联网
603920,世运电路,13.35,11:01:11,元器件
000509,华塑控股,3.69,14:14:12,其他建材
002909,集泰股份,21.26,14:41:21,化工原料
000635,英 力 特,13.13,09:57:51,化工原料
300143,星普医科,10.21,14:46:27,医疗保健
300708,聚灿光电,16.15,09:35:15,半导体
000151,中成股份,12.62,13:15:30,商贸代理
600250,南纺股份,7.22,11:15:14,商贸代理
000657,中钨高新,7.43,09:25:03,小金属
000659,珠海中富,3.09,09:31:48,广告包装
000928,中钢国际,5.45,09:25:03,建筑施工
000638,万方发展,5.81,10:21:21,批发业
002348,高乐股份,4.04,10:30:36,文教休闲
000663,永安林业,8.45,09:30:03,林业
300341,麦迪电气,5.47,09:40:00,电气设备
002335,科华恒盛,18.81,09:25:03,电气设备
600693,东百集团,5.94,09:30:08,百货
600821,津劝业,4.95,09:36:29,百货
002193,如意集团,14.28,09:25:03,纺织
300696,爱乐达,28.47,09:44:27,航空
600455,博通股份,26.7,09:25:00,软件服务
300561,汇金科技,20.37,14:13:39,软件服务
300310,宜通世纪,6.39,09:39:51,通信设备
002220,天宝食品,3.78,13:24:54,食品
