code,name,trade,rised_time,industry
300526,中潜股份,14.04,14:44:03,专用机械
002691,冀凯股份,9.39,09:25:03,专用机械
300724,N捷佳,20.39,10:00:06,专用机械
002530,金财互联,7.89,14:53:45,专用机械
601606,长城军工,7.03,09:25:04,专用机械
300471,厚普股份,7.3,11:26:09,专用机械
000971,高升控股,4.26,09:25:03,互联网
600986,科达股份,6.12,09:25:03,互联网
300392,腾信股份,8.99,09:25:03,互联网
002315,焦点科技,16.97,09:34:12,互联网
300691,联合光电,24.87,09:51:12,元器件
002618,丹邦科技,18.03,09:58:51,元器件
300647,超频三,20.25,10:03:21,元器件
002356,赫美集团,11.02,09:25:03,其他商业
603676,卫信康,15.66,10:11:51,化学制药
002907,华森制药,26.47,10:14:51,化学制药
000635,英 力 特,13.13,09:33:03,化工原料
300684,中石科技,84.16,09:25:03,化工原料
002917,金奥博,29.48,09:30:00,化工原料
300228,富瑞特装,5.57,10:42:21,化工机械
600773,西藏城投,7.95,13:44:19,区域地产
000011,深物业A,11.37,09:46:18,区域地产
300633,开立医疗,31.78,14:50:42,医疗保健
300677,英科医疗,18.83,09:54:57,医疗保健
000411,英特集团,14.61,09:58:09,医药商业
300046,台基股份,15.83,13:56:33,半导体
000659,珠海中富,2.52,09:50:51,广告包装
002755,东方新星,17.28,09:25:03,建筑施工
603506,南都物业,26.8,09:42:42,房产服务
603890,春秋电子,17.28,09:31:41,机械基件
600467,好当家,2.64,09:34:50,渔业
300601,康泰生物,41.88,11:07:12,生物制药
002338,奥普光电,13.42,09:40:15,电器仪表
002270,华明装备,4.79,09:25:03,电气设备
603105,芯能科技,23.95,09:30:44,电气设备
002041,登海种业,6.83,10:41:39,种植业
300658,延江股份,16.03,13:23:24,纺织
002401,中远海科,10.63,10:36:09,软件服务
002881,美格智能,20.66,14:08:33,通信设备
300312,邦讯技术,8.44,14:23:30,通信设备
