code,name,trade,rised_time,industry
300023,宝德股份,7.33,09:31:51,专用机械
002464,众应互联,12.09,13:15:09,互联网
600333,长春燃气,6.39,10:55:35,供气供热
002666,德联集团,4.39,09:25:03,化工原料
603790,雅运股份,19.13,13:02:07,化工原料
000613,大东海A,8.21,11:28:30,旅游服务
603667,五洲新春,11.24,09:43:43,机械基件
000025,特 力Ａ,28.86,13:45:09,汽车服务
002239,奥特佳,2.53,09:25:03,汽车配件
002454,松芝股份,5.08,09:56:48,汽车配件
603297,永新光学,54.55,09:25:00,电器仪表
002560,通达股份,5.2,10:12:48,电气设备
300215,电科院,6.3,09:44:06,电气设备
600152,维科技术,6.12,09:34:28,电气设备
300713,英可瑞,29.83,09:37:54,电气设备
300484,蓝海华腾,12.38,09:41:45,电气设备
300491,通合科技,17.24,13:17:12,电气设备
002297,博云新材,7.01,09:25:03,矿物制品
600365,通葡股份,4.71,14:07:54,红黄药酒
002830,名雕股份,20.52,14:15:18,装修装饰
