,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
117,603733,仙鹤股份,-4.398,25.87,27.5,28.15,25.4,27.06,22203456.0,35.81203,596511788.0,35.438,5.824,1583244.0,160394.0
118,603730,岱美股份,-3.69,23.49,24.4,24.49,23.3,24.39,893000.0,1.10021,21500471.0,15.353,2.933,963947.385,190660.021587
119,603729,龙韵股份,-0.763,23.41,23.63,23.63,23.06,23.59,540796.0,0.5794,12669258.0,37.758,1.8050000000000002,218504.258,218504.258
120,603728,鸣志电器,0.0,14.08,14.08,14.38,13.88,14.08,798030.0,0.45405000000000006,11261586.0,24.318,2.637,585728.0,247470.08
121,603727,博迈科,-3.169,13.75,14.22,14.22,13.65,14.2,1156979.0,1.21954,16046600.0,29.255,1.348,321949.375,130446.25
122,603726,朗迪集团,-1.538,21.13,21.46,21.9,20.59,21.46,3038880.0,9.16651,64524422.0,17.608,2.359,280200.704,70050.176
123,603725,天安新材,-1.1,15.29,15.6,15.95,15.24,15.46,1009003.0,2.75083,15700586.0,33.978,2.805,224273.72,56083.72
124,603722,阿科力,7.646,37.17,34.53,37.98,34.53,34.53,5221056.0,24.06017,195330939.0,50.918,6.095,322263.9,80658.9
125,603721,中广天择,-8.449,17.12,18.65,18.65,17.0,18.7,1549628.0,6.19851,27433161.0,22.526,3.122,171200.0,42800.0
126,603718,海利生物,-3.605,10.16,10.35,10.49,10.14,10.54,7624090.0,1.1838600000000001,78283543.0,56.444,6.002,654304.0,654304.0
127,603717,天域生态,-2.68,9.44,9.7,9.75,9.41,9.7,1651020.0,1.3524100000000001,15808298.0,12.598,1.266,228255.65056,115242.99136
128,603716,塞力斯,-1.938,16.7,17.01,17.49,16.63,17.03,780800.0,0.8124300000000001,13222065.0,12.652,1.258,342589.99403,160497.86836
129,603713,密尔克卫,0.08,50.02,48.0,54.98,47.51,49.98,21703252.0,56.93403,1098041864.0,68.343,7.156,762674.867968,190676.24
130,603712,七一二,-4.805,20.01,21.02,21.13,19.78,21.02,6781404.0,6.7814,138425513.0,69.0,7.521,1544772.0,200100.0
131,603711,香飘飘,-4.29,19.41,20.08,20.08,19.3,20.28,1933188.0,4.83176,38091141.0,26.23,3.9699999999999998,776419.41,77659.41
132,603709,中源家居,-1.769,24.99,25.08,25.35,24.66,25.44,1123700.0,5.6185,28123345.0,18.109,3.785,199920.0,49980.0
133,603708,家家悦,-4.891,20.03,21.34,21.42,19.66,21.06,3417967.0,2.17745,69917194.0,30.348,3.505,937404.0,314412.710697
134,603707,健友股份,-1.295,22.86,22.85,23.3,22.54,23.16,1108662.0,0.38955,25347009.0,28.115,5.704,1262845.6074,650604.88116
135,603706,东方环宇,-3.039,42.11,41.59,42.96,40.59,43.43,14449641.0,36.1241,607485740.0,52.638,9.463,673760.0,168440.0
136,603703,盛洋科技,-2.647,8.09,8.4,8.43,8.03,8.31,1035700.0,0.9506200000000001,8524012.0,73.545,3.517,185827.3,88140.55
137,603701,德宏股份,-5.906,11.47,12.09,12.23,11.2,12.19,813266.0,1.14326,9491329.0,16.868,2.237,167591.8404,81592.992
138,603699,纽威股份,-0.315,12.66,12.9,12.9,12.44,12.7,3031206.0,0.40416,38173293.0,45.214,3.659,949500.0,949500.0
139,603698,航天工程,-1.289,14.55,14.9,14.9,14.45,14.74,463098.0,0.11232,6762669.0,30.957,2.365,599896.5,599896.5
140,603696,安记食品,-1.352,14.59,14.78,15.05,14.43,14.79,1715315.0,3.55138,25291182.0,42.912,2.401,245112.0,70469.7
141,603693,江苏新能,-6.486,21.34,22.59,22.75,21.01,22.82,20737598.0,17.57424,452832410.0,34.419,3.155,1318812.0,251812.0
142,603690,至纯科技,-3.518,20.02,20.08,20.32,19.32,20.75,6818815.0,7.3976,136356966.0,84.118,10.278,421140.72,184536.352
143,603689,皖天然气,-1.869,10.5,10.56,10.8,10.48,10.7,2406800.0,1.43808,25539095.0,27.632,1.838,352800.0,175729.68
144,603688,石英股份,-5.043,10.92,11.52,11.6,10.86,11.5,2925962.0,0.8699,32451156.0,34.125,2.791,368373.096,367299.8784
145,603686,龙马环卫,-2.542,23.0,23.4,24.12,22.92,23.6,1843441.0,0.6828200000000001,43049634.0,23.711,3.103,687711.3965,620944.8
146,603685,晨丰科技,-4.095,16.16,16.92,16.92,16.1,16.85,717088.0,2.20642,11761757.0,11.145,1.758,210080.0,52520.0
