code,name,trade,rised_time,industry
300411,金盾股份,11.44,09:42:27,专用机械
300023,宝德股份,5.5,13:22:33,专用机械
300278,华昌达,7.26,09:59:42,专用机械
002517,恺英网络,5.3,14:35:03,互联网
002259,升达林业,3.49,09:35:48,供气供热
002935,天奥电子,49.46,09:25:03,元器件
002356,赫美集团,11.22,14:27:00,其他商业
300216,千山药机,4.38,09:31:54,医疗保健
300708,聚灿光电,14.48,09:54:36,半导体
000752,西藏发展,8.17,09:34:00,啤酒
601068,中铝国际,9.69,09:25:00,建筑施工
300640,德艺文创,11.11,09:25:03,文教休闲
603693,江苏新能,21.89,14:31:59,新型电力
300259,新天科技,3.36,11:27:45,电器仪表
603297,永新光学,40.98,11:21:44,电器仪表
002606,大连电瓷,4.81,10:18:15,电气设备
002692,睿康股份,4.39,09:30:00,电气设备
002164,宁波东力,3.18,09:39:30,电气设备
300265,通光线缆,6.17,10:04:27,电气设备
603988,中电电机,13.86,10:12:51,电气设备
300164,通源石油,9.01,10:11:33,石油开采
300084,海默科技,5.31,13:28:30,石油开采
300719,安达维尔,13.79,11:15:27,航空
603602,纵横通信,27.32,09:45:21,通信设备
002848,高斯贝尔,10.9,09:50:27,通信设备
300603,立昂技术,27.37,09:37:24,通信设备
603559,中通国脉,25.74,11:23:47,通信设备
300489,中飞股份,14.21,09:40:15,铝
